time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1641170090,c82232,-43.02488708496094,172.93291668559232,34.655355012164684,275.9644871012531,-0.65024,ZKZUB   ,False,False,False,,449.58,518.1600000000001,1641169947.679,1641169947.679
1641170360,a662ca,31.155807495117188,-91.5289306640625,129.83673793682507,309.049810630819,0.32512,N510PX  ,False,False,False,2025.0,10972.8,11193.78,1641170359.63,1641170359.909
1641169650,48ae02,46.21436167571504,-70.9881591796875,208.4875946298842,212.7097426061024,0.0,LOT15K  ,False,False,False,,12184.38,11894.82,1641169649.629,1641169649.629
1641169150,8881be,20.99822480799788,105.96727960759944,182.16911682623495,165.61056784432537,5.8521600000000005,BAV1623 ,False,False,False,4133.0,3573.78,3733.8,1641169149.696,1641169149.696
1641170960,c04681,49.14664058362023,-122.97994513260691,140.7443946954921,237.99461679191648,-9.7536,ASP846  ,False,False,False,5516.0,4998.72,4754.88,1641170959.938,1641170959.991
1641169530,a16a02,37.3026123046875,-89.33947624044214,224.60179639724888,297.8563357346169,0.0,AAL601  ,False,False,False,575.0,10363.2,10332.72,1641169529.17,1641169529.972
1641169030,a8dfc7,29.25105208057468,-82.94036865234375,243.8730450102832,333.16468771642786,0.0,DAL2553 ,False,False,False,,6705.6,7002.780000000001,1641169029.962,1641169029.994
1641171580,8518ae,36.066997980667374,138.26784823803192,181.54698875866592,283.60308775140953,0.32512,JAL185  ,False,False,False,2436.0,7917.18,7802.88,1641171577.657,1641171579.936
1641168640,aae810,39.45148532673464,-80.27569580078125,186.31468568157328,178.25950359210535,7.152640000000001,SCX3075 ,False,False,False,,10043.16,10096.5,1641168639.041,1641168639.69
1641168450,c07f02,49.94868908898305,-97.22952352987755,56.166354157102994,188.42696902148063,-3.5763200000000004,WJA575  ,False,True,False,530.0,411.48,373.38,1641168449.703,1641168449.962
1641171460,c05b68,44.92114050913665,-74.63635700504955,183.58804680857125,69.83857345685182,-8.128,CGIPZ   ,False,False,False,514.0,4183.38,3939.54,1641171459.829,1641171459.927
1641171100,aa7e99,27.91220972093485,-81.30754324106067,246.9465166157701,359.4031905487708,0.0,UAL2073 ,False,False,False,2101.0,11277.6,11818.62,1641171099.607,1641171099.743
1641169970,ab81b5,,,,,,ASA1198 ,False,False,False,,,,,1641169926.124
1641169150,a5ea44,35.24344234143273,-80.31999303939494,174.7429284533523,191.37609385282715,0.0,N480TB  ,False,False,False,2007.0,12192.0,12496.8,1641169149.739,1641169149.874
1641170670,a1a889,36.54762268066406,-84.3120002746582,197.6462782943794,173.87390473783503,0.0,N206CK  ,False,False,False,4014.0,12496.8,12649.2,1641170669.982,1641170669.982
1641169470,7c009f,-31.84286499023437,116.46216430664064,121.3313747374932,285.74517849977155,-7.152640000000001,AEP     ,False,False,False,,2468.88,2575.56,1641169469.974,1641169469.974
1641169730,c1e17f,,,,,,YZTX2B  ,False,False,False,3557.0,9364.98,,,1641169729.986
1641171030,7583e7,14.120550640558791,121.04100277549342,134.83635141813872,326.6737103128848,-7.477760000000001,CEB620  ,False,False,False,4251.0,2964.1800000000003,3208.02,1641171029.82,1641171029.82
1641168270,e492e0,18.887872211003707,-65.88705721768463,172.6180027163827,289.1369354991566,0.0,PPCMC   ,False,False,False,21.0,12192.0,12755.88,1641168269.486,1641168269.649
1641169720,4d02a0,40.61494445800781,-73.36773681640625,168.6128959627193,15.39310666630364,-5.20192,LXA26B  ,False,False,False,3535.0,4831.08,4792.98,1641169719.854,1641169719.989
1641170650,a4c326,34.21087646484375,-117.08959462691324,147.59164356952945,218.34791269847423,-10.07872,N406CJ  ,False,False,False,,3627.12,3733.8,1641170649.054,1641170649.917
1641168660,ae2034,31.90997624801377,-111.08455735809947,60.33267987696672,168.6900675259798,0.0,72293   ,False,False,False,,1287.78,1341.12,1641168657.194,1641168657.36
1641169160,a1a9bc,43.551620224774894,-71.5966578892299,157.01923108431578,245.6181881231045,0.0,EJA206  ,False,False,False,3553.0,4922.52,4747.26,1641169159.726,1641169159.979
1641168680,44ccc7,43.20176696777344,-68.17208223564681,315.1224611901261,67.03476721225316,0.0,BEL52B  ,False,False,False,1660.0,11269.98,11239.500000000002,1641168515.462,1641168674.869
1641168980,a00929,38.33939891750529,-78.81884367569631,258.62210715426505,59.9158434412248,-11.70432,RPA4699 ,False,False,False,7113.0,7917.18,7985.76,1641168977.832,1641168979.694
1641171330,a19bc9,40.33305358886719,-77.44354248046875,210.93772368519103,0.6986943829834713,-0.32512,N2020   ,False,False,False,7014.0,5791.200000000001,5730.240000000001,1641171329.405,1641171329.999
1641171570,8681ae,35.36553955078125,136.59404754638672,178.3607840454086,254.44050486106323,0.0,SKY007  ,False,False,False,461.0,7315.200000000001,7216.14,1641171569.556,1641171569.655
1641168910,a3ffab,38.36733026019597,-120.87886644446333,82.44597095509897,29.124053494777428,0.32512,N357JW  ,False,False,False,,1592.5800000000002,1630.68,1641168909.519,1641168909.615
1641168730,a83862,42.66638287043167,-83.37620225063586,62.30084637393441,267.6337520085442,-3.5763200000000004,N629HG  ,False,False,False,,396.24,426.72,1641168729.998,1641168729.998
1641168890,8964a8,42.61512885659428,29.095246071039245,266.44673337014177,122.46270779816464,0.0,UAE86   ,False,False,False,3063.0,10668.0,10797.54,1641168889.859,1641168889.859
1641168980,a3649a,,,,,,ASA1066 ,False,False,False,,,,,1641168940.887
1641170970,aafd4d,,,,,,EJA807  ,False,False,False,,,,,1641170948.336
